sender,sender_type,sender_id,timestamp,meta,,IC-ICresponse,age,duration,ended_on,image,participantID,response,response_action,sex,time_commit,time_end,time_render,time_run,time_show,time_switch,url
rating,html.Page,0_0_1_1_0,2020-06-16T03:27:27.716Z,,,,,208.623,response,1.jpg,3483,4,click button#btn4,,12025.535,12023.165,11797.874,11798.83,11814.542,12031.226,
blank,html.Page,0_0_1_1_1,2020-06-16T03:27:28.206Z,,,,,500.04,timeout,1.jpg,3483,,,,12515.695,12514.598,12014.558,12025.635,12031.226,12531.266,
rating trial,flow.Sequence,0_0_1_1,2020-06-16T03:27:28.206Z,,,,,700.056,completion,1.jpg,3483,,,,12516.005,12514.598,11797.874,11798.815,11814.542,12531.266,
rating,html.Page,0_0_1_2_0,2020-06-16T03:27:28.571Z,,,,,346.914,response,4.jpg,3483,5,click button#btn5,,12880.865,12878.18,12514.598,12516.095,12531.266,12897.962,
blank,html.Page,0_0_1_2_1,2020-06-16T03:27:29.074Z,,,,,500.04,timeout,4.jpg,3483,,,,13383.25,13381.334,12864.626,12880.95,12897.962,13398.002,
rating trial,flow.Sequence,0_0_1_2,2020-06-16T03:27:29.074Z,,,,,850.068,completion,4.jpg,3483,,,,13383.36,13381.334,12514.598,12516.08,12531.266,13398.002,
rating,html.Page,0_0_1_3_0,2020-06-16T03:27:29.516Z,,,,,425.258,response,3.jpg,3483,4,click button#btn4,,13825.59,13823.26,13381.334,13383.435,13398.002,13831.37,
blank,html.Page,0_0_1_3_1,2020-06-16T03:27:30.007Z,,,,,500.04,timeout,3.jpg,3483,,,,14316.7,14314.742,13814.702,13825.665,13831.37,14331.41,
rating trial,flow.Sequence,0_0_1_3,2020-06-16T03:27:30.007Z,,,,,916.74,completion,3.jpg,3483,,,,14316.815,14314.742,13381.334,13383.415,13398.002,14331.41,
rating phase,flow.Loop,0_0_1,2020-06-16T03:27:30.007Z,,,,,4567.032,completion,,3483,,,,14316.925,14314.742,9731.042,9731.325,9747.71,14331.41,
Main Sequence,flow.Sequence,0_0,2020-06-16T03:27:30.007Z,,,,,14203.367,completion,,3483,,,,14317.01,14314.742,78.039,86.87999996,111.375,14331.41,
Main Loop,flow.Loop,0,2020-06-16T03:27:30.008Z,,,,,14203.367,completion,,,,,,14317.085,14314.742,78.039,86.84999996,111.375,14331.41,
root,flow.Sequence,,2020-06-16T03:27:30.008Z,,,,,14203.367,completion,,,,,,14317.39,14314.742,78.039,86.78999997,111.375,14331.41,
